Tarikh Miladi,Day,Time,Title,Desc,Speaker,SpeakerCode
01-Apr-2026,Rabu,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Liswan Hadi,liswan
02-Apr-2026,Khamis,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Asyari,asyari
03-Apr-2026,Jumaat,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
04-Apr-2026,Sabtu,,,,,
05-Apr-2026,Ahad,,,,,,
06-Apr-2026,Isnin,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Syakir,syakir
07-Apr-2026,Selasa,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
08-Apr-2026,Rabu,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Nazrin,nazrin
09-Apr-2026,Khamis,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Wan Muhammad Abd Halim,wan
10-Apr-2026,Jumaat,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
11-Apr-2026,Sabtu,,,,,
12-Apr-2026,Ahad,,,,,
13-Apr-2026,Isnin,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Nadzmi,nadzmi
14-Apr-2026,Selasa,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
15-Apr-2026,Rabu,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Nazrin,nazrin
16-Apr-2026,Khamis,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Wan Muhammad Abd Halim,wan
17-Apr-2026,Jumaat,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
18-Apr-2026,Sabtu,,,,,
19-Apr-2026,Ahad,,,,,
20-Apr-2026,Isnin,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Syakir,syakir
21-Apr-2026,Selasa,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
22-Apr-2026,Rabu,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Nazrin,nazrin
23-Apr-2026,Khamis,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Wan Muhammad Abd Halim,wan
24-Apr-2026,Jumaat,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
25-Apr-2026,Sabtu,,,,,
26-Apr-2026,Ahad,,,,,
27-Apr-2026,Isnin,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Nadzmi,nadzmi
28-Apr-2026,Selasa,07:45 PM,Kuliah Maghrib,,YBhg Ustaz Haji Azmi Sabdin,azmi
29-Apr-2026,Rabu,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Nazrin,nazrin
30-Apr-2026,Khamis,07:45 PM,Kuliah Maghrib,,YBhg. Ustaz Wan Muhammad Abd Halim,wan
